date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:00	1638722/1638722	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f03e99c933c9079201bbf273f7e1c240%22	https://betacdn.haraj.com.sa/main.4b844541a1270c6a0146.js	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/main.4b844541a1270c6a0146.js	(from https://beta.haraj.com.sa/commission.php)
17:51:00	17029/17029	---M--	200	added ('OK')	image/png	etag:%227066411fca0d089f078ddf49d59df968%22	https://betacdn.haraj.com.sa/assets/images/icon_512x512.7066411fca0d089f078ddf49d59df968.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_512x512.7066411fca0d089f078ddf49d59df968.png	(from https://beta.haraj.com.sa/commission.php)
17:51:01	11297/11297	---M--	200	added ('OK')	image/png	etag:%2212d8b38b0a81ff939e9768f4105093eb%22	https://betacdn.haraj.com.sa/assets/images/icon_384x384.12d8b38b0a81ff939e9768f4105093eb.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_384x384.12d8b38b0a81ff939e9768f4105093eb.png	(from https://beta.haraj.com.sa/commission.php)
17:51:01	6187/6187	---M--	200	added ('OK')	image/png	etag:%22e1fab9740fc56bf67a9553750b7c9414%22	https://betacdn.haraj.com.sa/assets/images/icon_256x256.e1fab9740fc56bf67a9553750b7c9414.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_256x256.e1fab9740fc56bf67a9553750b7c9414.png	(from https://beta.haraj.com.sa/commission.php)
17:51:01	4220/4220	---M--	200	added ('OK')	image/png	etag:%223412c457e79a23d6a92f96ad8eeefc64%22	https://betacdn.haraj.com.sa/assets/images/icon_192x192.3412c457e79a23d6a92f96ad8eeefc64.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_192x192.3412c457e79a23d6a92f96ad8eeefc64.png	(from https://beta.haraj.com.sa/commission.php)
17:51:01	2442/2442	---M--	200	added ('OK')	image/png	etag:%22cc86407e91021ad6957be73c5f43b9b1%22	https://betacdn.haraj.com.sa/assets/images/icon_128x128.cc86407e91021ad6957be73c5f43b9b1.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_128x128.cc86407e91021ad6957be73c5f43b9b1.png	(from https://beta.haraj.com.sa/commission.php)
17:51:01	1756/1756	---M--	200	added ('OK')	image/png	etag:%225e07e9b4868f8e0113751d416f54a860%22	https://betacdn.haraj.com.sa/assets/images/icon_96x96.5e07e9b4868f8e0113751d416f54a860.png	C:/Users/im03th/Desktop/11/11/betacdn.haraj.com.sa/assets/images/icon_96x96.5e07e9b4868f8e0113751d416f54a860.png	(from https://beta.haraj.com.sa/commission.php)
17:51:02	5358/5358	---MCZ	200	added ('OK')	text/html	etag:W/%225fa45d42-14ee%22	https://beta.haraj.com.sa/	C:/Users/im03th/Desktop/11/11/beta.haraj.com.sa/index.html	(from https://beta.haraj.com.sa/commission.php)
17:51:02	3606/3606	---M--	200	added ('OK')	image/png	etag:%22a970e5a146fbd6eea96d5632412b6d2d%22	https://haraj.azureedge.net/static/images5/haraj-logo.png	C:/Users/im03th/Desktop/11/11/haraj.azureedge.net/static/images5/haraj-logo.png	(from https://beta.haraj.com.sa/commission.php)
17:51:02	8974/8974	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa45d42-230e%22	https://beta.haraj.com.sa/sw.js	C:/Users/im03th/Desktop/11/11/beta.haraj.com.sa/sw.js	(from https://beta.haraj.com.sa/commission.php)
